"행정구역(시군구)별",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"예천군",21378,21385,21394,21395,22123,23504,25273,26453,27301,27771
"봉화군",15874,16011,16268,16409,16492,16583,16705,16705,16908,16882
"울진군",23864,24256,24590,24926,25186,25148,25137,25244,25562,25535
"울릉군",5393,5400,5364,5319,5323,5435,5490,5426,5312,5258
"경상남도",1301439,1320887,1343984,1367142,1385684,1406011,1425271,1450822,1484601,1505971
"창원시",-,-,-,-,-,-,-,-,-,-
"창원시",408227,409981,412256,415872,417762,420517,425771,431382,442097,451940
"의창구",96316,97428,99821,100458,99924,101257,102538,106817,111656,95630
"성산구",85336,84706,83959,83742,83682,84149,85722,85420,86158,105052
"마산합포구",74223,74300,74924,75740,76899,77798,78259,78684,80142,84087
"마산회원구",83487,84053,83397,83492,83640,81903,81278,80629,82303,82405
"진해구",68865,69494,70155,72440,73617,75410,77974,79832,81838,84766
"마산시",-,-,-,-,-,-,-,-,-,-
"진주시",130438,131740,134500,138231,140748,142865,145153,149078,154197,157292
"진해시",-,-,-,-,-,-,-,-,-,-
"통영시",57321,58147,58427,59015,59214,58941,59125,59423,59813,59738
"사천시",48642,49647,50072,50520,51012,51348,52184,52503,53509,53944
"사천남양출장소",-,-,-,-,-,-,-,-,0,-
"김해시",184977,190133,194766,197865,200370,204894,208710,217228,223242,225984
"장유출장소",-,-,-,-,-,-,-,-,0,-
"밀양시",47423,47872,48321,49197,50158,50597,51044,51541,52673,53120
"거제시",90793,93572,97392,101534,102413,101279,100775,101969,103779,103674
"양산시",102031,106677,113213,117649,125453,135821,141871,145297,149595,153732
"양산시웅상출장소",-,-,-,-,-,-,-,-,0,-
"의령군",14505,14436,14538,14427,14419,14436,14587,14577,14917,15010
"함안군",29076,29454,30289,30882,31106,31076,30989,30910,31056,30978
"창녕군",29320,29635,29944,30378,30810,31256,31429,31504,32203,32469
"고성군",25685,25718,25844,25883,25853,25827,25842,25882,26222,26318
"남해군",22477,22325,22265,22236,22155,22135,22255,22612,22780,22786
"하동군",22935,23032,22910,23603,23704,23805,23631,23738,23796,23769
"산청군",17420,17673,17793,18083,18404,18740,18856,19040,19454,19600
"함양군",18935,19095,19222,19363,19598,19915,20159,20427,20754,20840
"거창군",27196,27510,27681,27895,28203,28353,28814,29538,30253,30564
"합천군",24038,24240,24551,24509,24302,24206,24076,24173,24261,24213
"제주특별자치도",232141,238465,246516,256928,266972,278203,287104,293155,302033,307529
"제주시",168658,173370,179090,185874,192353,198454,204621,209439,216202,219978
"서귀포시",63483,65095,67426,71054,74619,79749,82483,83716,85831,87551
