"행정구역별","산업별",2021.1/2,2021.2/2,2022.1/2
"부산 강서구","사업·개인·공공서비스 및 기타(E,L~U)",19.2,21.9,22.4
"부산 연제구","계",92.3,96.3,99.8
"부산 연제구","농업, 임업 및 어업 (A)",-,0.1,0.1
"부산 연제구","광·제조업(B,C)",6.7,8.2,8.8
"부산 연제구","건설업 (F) ",6.3,6.5,7.2
"부산 연제구","도소매·음식숙박업(G,I)",23.7,22.8,25.2
"부산 연제구","전기·운수·통신·금융(D,H,J,K)",13.7,14.5,14.5
"부산 연제구","사업·개인·공공서비스 및 기타(E,L~U)",41.9,44.3,44.0
"부산 수영구","계",79.2,83.6,85.9
"부산 수영구","농업, 임업 및 어업 (A)",0.1,0.3,0.2
"부산 수영구","광·제조업(B,C)",6.8,7.1,6.7
"부산 수영구","건설업 (F) ",6.1,6.6,6.4
"부산 수영구","도소매·음식숙박업(G,I)",21.5,22.2,22.9
"부산 수영구","전기·운수·통신·금융(D,H,J,K)",9.5,12.1,12.4
"부산 수영구","사업·개인·공공서비스 및 기타(E,L~U)",35.1,35.4,37.3
"부산 사상구","계",104.0,105.6,108.7
"부산 사상구","농업, 임업 및 어업 (A)",-,0.1,0.5
"부산 사상구","광·제조업(B,C)",26.7,26.4,26.1
"부산 사상구","건설업 (F) ",8.1,6.5,8.6
"부산 사상구","도소매·음식숙박업(G,I)",26.6,27.1,27.8
"부산 사상구","전기·운수·통신·금융(D,H,J,K)",9.7,10.1,10.9
"부산 사상구","사업·개인·공공서비스 및 기타(E,L~U)",32.9,35.4,34.8
"부산 기장군","계",81.8,83.1,81.4
"부산 기장군","농업, 임업 및 어업 (A)",2.0,1.9,2.4
"부산 기장군","광·제조업(B,C)",10.8,11.2,10.4
"부산 기장군","건설업 (F) ",7.2,7.4,8.1
"부산 기장군","도소매·음식숙박업(G,I)",21.2,20.4,19.8
"부산 기장군","전기·운수·통신·금융(D,H,J,K)",10.0,9.4,10.0
"부산 기장군","사업·개인·공공서비스 및 기타(E,L~U)",30.6,32.9,30.8
"대구 중구","계",36.5,36.7,37.6
"대구 중구","농업, 임업 및 어업 (A)",0.1,0.1,0.1
"대구 중구","광·제조업(B,C)",5.3,5.3,5.8
"대구 중구","건설업 (F) ",2.3,1.9,1.7
"대구 중구","도소매·음식숙박업(G,I)",10.0,9.9,10.2
"대구 중구","전기·운수·통신·금융(D,H,J,K)",3.1,2.9,3.4
"대구 중구","사업·개인·공공서비스 및 기타(E,L~U)",15.7,16.6,16.3
"대구 동구","계",155.1,160.7,164.8
"대구 동구","농업, 임업 및 어업 (A)",3.3,1.7,1.5
"대구 동구","광·제조업(B,C)",21.9,21.4,21.5
"대구 동구","건설업 (F) ",13.4,14.4,13.7
"대구 동구","도소매·음식숙박업(G,I)",35.0,38.6,44.2
"대구 동구","전기·운수·통신·금융(D,H,J,K)",16.3,15.8,16.1
"대구 동구","사업·개인·공공서비스 및 기타(E,L~U)",65.4,68.7,67.7
"대구 서구","계",77.6,79.2,78.4
"대구 서구","농업, 임업 및 어업 (A)",0.9,0.7,0.5
"대구 서구","광·제조업(B,C)",18.7,20.0,19.0
"대구 서구","건설업 (F) ",7.9,8.1,10.3
"대구 서구","도소매·음식숙박업(G,I)",16.3,15.8,15.6
"대구 서구","전기·운수·통신·금융(D,H,J,K)",6.8,6.7,5.4
"대구 서구","사업·개인·공공서비스 및 기타(E,L~U)",26.9,27.9,27.6
"대구 남구","계",65.0,68.0,66.6
"대구 남구","농업, 임업 및 어업 (A)",0.7,0.5,0.7
"대구 남구","광·제조업(B,C)",7.7,7.5,7.8
"대구 남구","건설업 (F) ",5.8,6.0,5.6
"대구 남구","도소매·음식숙박업(G,I)",17.0,17.2,17.6
"대구 남구","전기·운수·통신·금융(D,H,J,K)",4.9,4.1,4.4
"대구 남구","사업·개인·공공서비스 및 기타(E,L~U)",28.9,32.8,30.5
"대구 북구","계",204.2,212.6,214.4
"대구 북구","농업, 임업 및 어업 (A)",0.7,0.5,1.1
"대구 북구","광·제조업(B,C)",41.8,41.4,40.1
"대구 북구","건설업 (F) ",16.3,15.4,17.3
"대구 북구","도소매·음식숙박업(G,I)",50.9,52.5,55.2
"대구 북구","전기·운수·통신·금융(D,H,J,K)",18.1,19.7,18.3
"대구 북구","사업·개인·공공서비스 및 기타(E,L~U)",76.4,83.2,82.4
"대구 수성구","계",185.9,185.6,185.2
"대구 수성구","농업, 임업 및 어업 (A)",1.6,1.3,1.1
"대구 수성구","광·제조업(B,C)",18.3,19.2,18.1
"대구 수성구","건설업 (F) ",12.2,10.8,11.8
"대구 수성구","도소매·음식숙박업(G,I)",40.7,41.6,42.7
"대구 수성구","전기·운수·통신·금융(D,H,J,K)",21.1,20.1,19.3
"대구 수성구","사업·개인·공공서비스 및 기타(E,L~U)",91.9,92.5,92.2
"대구 달서구","계",267.8,267.7,268.9
