"행정구역별(시군)",2021.1/2,2021.1/2,2021.1/2,2021.2/2,2021.2/2,2021.2/2,2022.1/2,2022.1/2,2022.1/2
"거제시",125.2,10.6,68.8,126.1,11.9,65.0,121.7,10.5,60.8
"양산시",174.5,20.1,80.5,179.0,18.9,84.6,183.1,19.9,83.4
"창원시",500.7,59.0,217.0,499.7,57.9,215.5,500.1,59.3,215.3
"의령군",18.2,2.1,3.9,18.7,1.9,4.5,18.3,1.5,4.6
"함안군",54.3,3.4,20.3,50.4,3.2,19.5,49.7,3.9,17.9
"창녕군",38.8,2.6,12.9,39.7,3.2,12.7,42.7,3.7,13.5
"고성군",35.1,2.7,10.8,35.2,2.6,10.5,32.0,2.5,8.1
"남해군",26.3,1.7,5.7,27.1,1.4,6.0,27.3,1.3,5.9
"하동군",30.4,1.8,7.7,29.9,1.3,6.9,29.6,1.1,7.2
"산청군",25.8,1.2,5.0,25.9,1.0,4.8,26.4,1.1,4.5
"함양군",23.3,1.5,6.1,23.7,1.3,5.9,23.8,1.1,5.8
"거창군",35.7,2.5,10.6,36.0,3.1,10.3,35.2,2.4,10.6
"합천군",26.7,2.0,6.1,26.0,1.7,5.9,25.8,1.1,6.3
