"행정구역별(1)",행정구역별(2),2016,2017,2018,2019,2020
"행정구역별(1)",행정구역별(2),재정자립도(세입과목개편후),재정자립도(세입과목개편후),재정자립도(세입과목개편후),재정자립도(세입과목개편후),재정자립도(세입과목개편후)
"전라북도",남원시,9.6,9.3,8.6,7.7,9.1
"전라북도",김제시,10.3,9.8,11.3,9.0,9.7
"전라북도",완주군,24.2,23.3,21.2,20.3,18.1
"전라북도",진안군,6.2,5.5,5.9,5.0,7.1
"전라북도",무주군,7.9,7.7,7.5,7.0,8.5
"전라북도",장수군,6.2,6.1,5.7,5.1,7.7
"전라북도",임실군,6.2,7.1,5.1,5.7,8.5
"전라북도",순창군,7.5,7.2,6.3,6.5,8.7
"전라북도",고창군,8.8,8.1,7.6,7.4,7.5
"전라북도",부안군,7.4,7.0,6.3,6.5,9.2
"전라남도",소계,19.3,20.0,19.8,19.1,23.3
"전라남도",목포시,20.7,21.0,20.7,18.7,19.2
"전라남도",여수시,25.7,30.1,31.2,33.8,27.0
"전라남도",순천시,19.5,19.5,21.1,18.9,19.2
"전라남도",나주시,16.1,21.5,20.6,18.4,18.7
"전라남도",광양시,31.2,31.3,26.5,24.6,24.3
"전라남도",담양군,10.5,11.5,12.0,12.3,12.3
"전라남도",곡성군,7.8,7.7,7.1,7.1,9.5
"전라남도",구례군,6.6,7.1,6.3,6.4,7.3
"전라남도",고흥군,6.1,6.2,6.0,6.2,7.1
"전라남도",보성군,6.6,6.6,5.8,5.3,6.3
"전라남도",화순군,18.4,18.4,18.0,18.1,16.6
"전라남도",장흥군,6.6,7.9,7.3,6.7,8.3
"전라남도",강진군,7.7,7.0,7.0,5.9,7.8
"전라남도",해남군,6.4,6.5,7.9,6.2,7.4
"전라남도",영암군,13.7,14.8,14.0,12.4,13.0
"전라남도",무안군,11.6,12.7,13.3,11.9,14.7
"전라남도",함평군,7.7,6.9,6.9,6.8,8.5
"전라남도",영광군,10.2,12.8,13.1,10.2,10.5
"전라남도",장성군,8.7,8.7,8.9,9.4,11.8
"전라남도",완도군,7.3,7.5,7.2,6.5,6.3
"전라남도",진도군,4.8,6.5,7.4,7.4,8.1
"전라남도",신안군,5.8,5.8,6.0,6.2,6.6
"경상북도",소계,26.1,26.2,26.2,24.9,27.1
"경상북도",포항시,32.7,30.9,30.7,28.1,24.6
"경상북도",경주시,20.8,22.7,24.7,22.2,19.6
"경상북도",김천시,14.1,14.2,13.3,14.8,13.4
"경상북도",안동시,12.4,12.6,11.2,11.1,10.6
"경상북도",구미시,40.9,43.7,43.5,40.5,37.9
"경상북도",영주시,14.0,11.2,11.3,10.6,11.5
"경상북도",영천시,14.9,15.6,14.8,14.2,15.4
"경상북도",상주시,8.7,8.9,9.1,8.5,8.4
"경상북도",문경시,13.8,13.1,12.3,11.9,11.3
"경상북도",경산시,25.5,25.1,27.4,25.0,24.6
"경상북도",군위군,5.7,5.6,5.7,5.2,7.4
"경상북도",의성군,7.2,6.9,7.2,7.5,8.9
"경상북도",청송군,6.0,6.0,6.3,5.7,7.8
"경상북도",영양군,4.1,4.2,4.1,4.0,6.1
"경상북도",영덕군,8.8,8.4,7.3,7.6,8.8
"경상북도",청도군,9.0,8.6,8.9,8.4,10.3
"경상북도",고령군,10.9,13.1,13.1,12.9,11.7
